[2019-03-12 16:35:45,351[history_data] INFO: code=000402.SZ
[2019-03-12 16:35:45,680[history_data] INFO: code=000403.SZ
[2019-03-12 16:35:46,019[history_data] INFO: code=000404.SZ
[2019-03-12 16:35:46,331[history_data] INFO: code=000407.SZ
[2019-03-12 16:35:46,937[history_data] INFO: code=000408.SZ
[2019-03-12 16:35:47,280[history_data] INFO: code=000409.SZ
[2019-03-12 16:35:47,587[history_data] INFO: code=000410.SZ
[2019-03-12 16:35:47,996[history_data] INFO: code=000411.SZ
[2019-03-12 16:35:48,347[history_data] INFO: code=000413.SZ
[2019-03-12 16:35:48,716[history_data] INFO: code=000415.SZ
[2019-03-12 16:35:49,056[history_data] INFO: code=000416.SZ
[2019-03-12 16:35:49,410[history_data] INFO: code=000417.SZ
[2019-03-12 16:35:49,743[history_data] INFO: code=000418.SZ
[2019-03-12 16:35:50,063[history_data] INFO: code=000419.SZ
[2019-03-12 16:35:50,375[history_data] INFO: code=000420.SZ
[2019-03-12 16:35:50,704[history_data] INFO: code=000421.SZ
[2019-03-12 16:35:51,027[history_data] INFO: code=000422.SZ
[2019-03-12 16:35:51,420[history_data] INFO: code=000423.SZ
[2019-03-12 16:35:51,811[history_data] INFO: code=000425.SZ
[2019-03-12 16:35:52,570[history_data] INFO: code=000426.SZ
[2019-03-12 16:35:52,896[history_data] INFO: code=000428.SZ
[2019-03-12 16:35:53,205[history_data] INFO: code=000429.SZ
[2019-03-12 16:35:53,551[history_data] INFO: code=000430.SZ
[2019-03-12 16:35:53,874[history_data] INFO: code=000488.SZ
[2019-03-12 16:35:54,206[history_data] INFO: code=000498.SZ
[2019-03-12 16:35:54,534[history_data] INFO: code=000501.SZ
[2019-03-12 16:36:04,225[history_data] INFO: code=000502.SZ
[2019-03-12 16:36:04,609[history_data] INFO: code=000503.SZ
[2019-03-12 16:36:04,925[history_data] INFO: code=000504.SZ
[2019-03-12 16:36:05,282[history_data] INFO: code=000505.SZ
